00	A	15	24
01	B	15	24
02	C	15	24
03	D	15	24
04	E	15	24
05	F	15	24
06	G	15	24
07	H	15	24
08	I	15	24
09	J	15	24
0A	K	15	24
0B	L	15	24
0C	M	15	24
0D	N	15	24
0E	O	15	24
0F	P	15	24
10	Q	15	24
11	R	15	24
12	S	15	24
13	T	15	24
14	U	15	24
15	V	15	24
16	W	15	24
17	X	15	24
18	Y	15	24
19	Z	15	24
1A	a	11	24
1B	b	11	24
1C	c	11	24
1D	d	11	24
1E	e	11	24
1F	f	15	24
20	g	11	24
21	h	11	24
22	i	5	24
23	j	11	24
24	k	11	24
25	l	7	24
26	m	15	24
27	n	11	24
28	o	11	24
29	p	11	24
2A	q	11	24
2B	r	11	24
2C	s	11	24
2D	t	11	24
2E	u	11	24
2F	v	11	24
30	w	15	24
31	x	15	24
32	y	11	24
33	z	11	24
34	ō	11	24
35	.	7	24
36	,	7	24
37	'	7	24
38	(	15	24
39	)	15	24
3A	 	7	24
